time_s,temp_C
0.92,37.48
1.25,37.63
1.59,37.76
1.92,37.69
2.26,37.72
2.59,37.69
3.06,37.81
3.56,37.93
4.06,37.86
4.56,37.43
5.06,37.85
5.56,37.81
6.06,37.82
6.56,37.78
7.06,37.67
7.56,37.75
8.06,37.82
8.56,37.72
9.06,37.57
9.56,37.73
10.06,37.98
10.56,37.79
11.06,37.83
11.56,37.84
12.06,37.80
12.56,37.98
13.06,37.73
13.56,37.99
14.06,37.77
14.56,38.03
15.06,37.87
15.56,37.97
16.06,38.07
16.56,37.81
17.06,37.94
17.56,38.04
18.06,38.06
18.56,37.88
19.06,38.03
19.56,37.92
20.06,37.91
20.56,38.05
21.06,37.92
21.56,38.10
22.06,38.14
22.56,38.03
23.06,38.20
23.56,38.08
24.06,38.11
24.56,38.05
25.06,38.38
25.56,38.32
26.06,38.26
26.56,38.28
27.06,38.22
27.56,38.35
28.06,38.18
28.56,38.35
29.06,38.44
29.56,38.27
30.06,38.49
30.56,38.56
31.06,38.09
31.56,38.20
32.06,38.26
32.56,38.52
33.06,38.42
33.56,38.50
34.06,38.54
34.56,38.51
35.06,38.55
35.56,38.52
36.06,38.83
36.56,38.57
37.06,38.55
37.56,38.47
38.06,38.70
38.56,38.52
39.06,38.58
39.56,38.54
40.06,38.70
40.56,38.69
41.06,38.62
41.56,38.83
42.06,38.80
42.56,38.78
43.06,39.18
43.56,38.79
44.06,38.78
44.56,38.84
45.06,38.99
45.56,38.92
46.06,38.96
46.56,39.02
47.06,38.78
47.56,38.86
48.06,38.99
48.56,38.97
49.06,38.96
49.56,38.84
50.06,39.21
50.56,39.13
51.06,39.31
51.56,39.00
52.06,39.16
52.56,39.14
53.06,39.14
53.56,39.37
54.06,39.37
54.56,39.09
55.06,39.21
55.56,39.29
56.06,39.24
56.56,38.92
57.06,39.30
57.56,39.11
58.06,39.30
58.56,39.54
59.06,39.32
59.56,39.50
60.06,39.29
60.56,39.53
61.06,39.47
61.56,39.50
62.06,39.52
62.56,39.67
63.06,39.63
63.56,39.59
64.06,39.70
64.56,39.35
65.06,39.50
65.56,39.18
66.06,39.69
66.56,39.56
67.06,39.52
67.56,39.73
68.06,39.87
68.56,39.75
69.06,39.75
69.56,39.77
70.06,39.87
70.56,39.86
71.06,39.72
71.56,39.76
72.06,39.60
72.56,39.86
73.06,39.88
73.56,40.13
74.06,39.91
74.56,39.95
75.06,40.01
75.56,39.94
76.06,40.05
76.56,40.26
77.06,40.03
77.56,40.12
78.06,40.11
78.56,40.20
79.06,40.01
79.56,39.89
80.06,40.16
80.56,40.09
81.06,40.32
81.56,40.22
82.06,40.36
82.56,40.26
83.06,40.37
83.56,40.29
84.06,40.29
84.56,40.40
85.06,40.27
85.56,40.32
86.06,40.40
86.56,40.48
87.06,40.44
87.56,40.68
88.06,40.55
88.56,40.31
89.06,40.48
89.56,40.58
90.06,40.42
90.56,40.66
91.06,40.57
91.56,40.60
92.06,40.83
92.56,40.75
93.06,40.75
93.56,40.68
94.06,40.78
94.56,40.88
95.06,40.81
95.56,40.84
96.06,40.83
96.56,40.82
97.06,40.89
97.56,40.82
98.06,40.92
98.56,40.85
99.06,41.07
99.56,40.92
100.06,41.01
100.56,41.00
101.06,40.91
101.56,41.01
102.06,41.17
102.56,41.08
103.06,40.89
103.56,41.11
104.06,41.13
104.56,41.23
105.06,40.98
105.56,41.31
106.06,41.12
106.56,41.25
107.06,41.46
107.56,41.17
108.06,41.55
108.56,41.21
109.06,41.35
109.56,41.41
110.06,41.34
110.56,41.24
111.06,41.32
111.56,41.45
112.06,41.74
112.56,41.48
113.06,41.42
113.56,41.58
114.06,41.65
114.56,41.59
115.06,41.48
115.56,41.57
116.06,41.65
116.56,41.47
117.06,41.62
117.56,41.69
118.06,41.73
118.56,41.54
119.06,41.62
119.56,41.67
120.06,41.77
120.56,41.78
121.06,41.80
121.56,41.76
122.06,41.83
122.56,41.67
123.06,41.72
123.56,41.80
124.06,41.80
124.56,41.97
125.06,42.04
125.56,41.88
126.06,41.76
126.56,41.80
127.06,41.93
127.56,41.57
128.06,41.58
128.56,42.01
129.06,41.91
129.56,41.84
130.06,42.04
130.56,42.00
131.06,41.99
131.56,41.99
132.06,42.01
132.56,42.09
133.06,41.98
133.56,42.09
134.06,42.09
134.56,42.28
135.06,41.95
135.56,42.01
136.06,42.09
136.56,42.18
137.06,42.15
137.56,42.01
138.06,42.39
138.56,42.13
139.06,42.04
139.56,42.22
140.06,42.26
140.56,42.19
141.06,42.66
141.56,42.29
142.06,42.16
142.56,42.37
143.06,42.29
143.56,42.47
144.06,42.13
144.56,42.38
145.06,42.35
145.56,42.53
146.06,42.30
146.56,42.23
147.06,42.41
147.56,42.46
148.06,41.95
148.56,42.49
149.06,42.65
149.56,42.27
150.06,42.63
150.56,42.47
151.06,42.67
151.56,42.52
152.06,42.39
152.56,42.57
153.06,42.71
