Brightness (%),Scaled Duty Cycle Integer,Scaled Duty Cycle Percentage (%),Measured Duty Cycle (%),Measured Current Draw (mA),Power Consumption (W),Measured LED Voltage Drop (V),Measured 3.3V Rail Voltage (V),Measured LED Forward Current (mA)
0,0,0.0000,0.0000,72.0,1.080,0.00,3.72,0.000
5,0,0.0000,0.0000,72.0,1.080,0.00,3.72,0.000
10,1,0.0039,0.0025,73.0,1.095,2.34,3.72,0.040
15,3,0.0118,0.0148,82.0,1.230,2.36,3.72,0.520
20,7,0.0275,0.0323,92.0,1.380,2.37,3.72,1.160
25,12,0.0471,0.0515,103,1.545,2.38,3.72,1.800
30,18,0.0706,0.0753,118,1.770,2.39,3.76,2.610
35,25,0.0980,0.1025,130,1.950,2.41,3.73,3.530
40,33,0.1294,0.1338,148,2.220,2.43,3.74,4.670
45,44,0.1725,0.1768,171,2.565,2.45,3.75,6.120
50,55,0.2157,0.2199,195,2.925,2.47,3.74,7.720
55,68,0.2667,0.2708,221,3.315,2.51,3.72,9.450
60,82,0.3216,0.3252,249,3.735,2.53,3.72,11.43
65,98,0.3843,0.3886,282,4.230,2.57,3.69,13.88
70,116,0.4549,0.4536,324,4.860,2.60,3.68,16.54
75,135,0.5294,0.5317,361,5.415,2.65,3.68,19.15
80,156,0.6118,0.6126,401,6.015,2.69,3.65,34.30
85,178,0.6980,0.7009,446,6.690,2.74,3.63,39.30
90,202,0.7922,0.7954,493,7.395,2.79,3.62,44.30
95,227,0.8902,0.8993,545,8.175,2.83,3.59,49.50
100,255,1.0000,1.0000,609,9.135,2.88,3.57,56.50
