Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",0603,3,0.1uF,
C10,CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD_JVS25V100M6X4,1,JVS25V100M6X4,C51953404
"C13, C6",0805,2,22uF,
"C15, C16",0805,2,10uF 25V,
C17,0603,1,0.1uF 25V,
C2,0603,1,22uF,
"C3, C9",0603,2,1uF,
C8,0805,1,0.1uF 25V,
D3,D_MiniMELF,1,BZV55B10,
D4,SMC_L7.1-W6.2-LS8.1-FD,1,SMCJ15A-13-F,C135138
"F3, F4",F2920,2,JK-SMD300L-24V,C841188
J2,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03_Pin,
J3,PinHeader_1x11_P2.54mm_Horizontal,1,Conn_01x11_Pin,
L1,IND-SMD_L7.3-W6.6,1,MHCI06030-3R3M-R8,C108294
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED21, LED22, LED23, LED25, LED26, LED27, LED29, LED3, LED30, LED31, LED4, LED5, LED6, LED7, LED8, LED9",LED-SMD_L3.5-W2.8-FD-2835_WHITE,28,JTLMS3,C34162565
LED33,LED0603-RD_RED,1,PD LED RED,C94743
LED35,LED0603-RD_RED,1,USR LED BLUE,C481916
LED36,LED0603-RD_RED,1,PWR LED GREEN,C84267
Q2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,G7P03L,C840062
Q3,SOT-23,1,AO3400A,
"R1, R17, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R36, R37, R38, R40, R41, R42, R44, R45, R46, R6",0603,28,5.6, C325756 
"R10, R16, R2, R4, R48, R49, R7, R8, R9",0603,9,10K,
R11,0603,1,33.2K,
R12,0603,1,160,
R13,0603,1,1K,
"R14, R15",0603,2,5.1K,
"R18, R5",0603,2,100K,
R3,0603,1,220,
R50,0603,1,180,
R51,0603,1,130,
SW3,SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7,1,RESET,C51927445
SW4,SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7,1,BOOT,C51927445
"SW5, SW6",SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7,2,USR 1,C51927445
U2,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1,C5736265
U3,SOT-666,1,USBLC6-2P6,
U5,SOT-23-6,1,CH221K,
U6,CONN-SMD_2060-452,1,PWR OUT,C2765055
U7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,TPS563201DDCR,C116592
U8,CONN-SMD_2060-452,1,PWR IN,C2765055
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
