Designator,Mid X,Mid Y,Rotation,Layer
C1,143.0,-88.5,180.0,top
C10,102.5,-93.0,90.0,top
C13,119.05,-110.0,180.0,top
C15,110.55,-115.5,0.0,top
C16,110.55,-117.5,0.0,top
C17,110.334299,-119.211118,0.0,top
C2,143.0,-90.0,180.0,top
C3,143.476677,-95.87449,180.0,top
C4,93.5,-112.225,90.0,top
C5,106.053054,-114.09523,180.0,top
C6,119.05,-112.15,180.0,top
C8,107.097223,-91.310155,90.0,top
C9,95.0,-112.225,90.0,top
D3,102.125,-111.125,180.0,top
D4,95.5,-93.0,270.0,top
F3,90.0,-102.5,0.0,top
F4,99.5,-102.5,0.0,top
H1,223.5,-84.0,0.0,top
H2,223.5,-117.0,0.0,top
H3,80.5,-117.0,0.0,top
H4,80.5,-84.0,0.0,top
J2,171.04,-109.5,270.0,top
J3,151.84,-109.5,270.0,top
L1,112.55,-111.0,0.0,top
LED1,217.577888,-100.45699,90.0,bottom
LED10,106.000083,-100.399702,90.0,bottom
LED11,101.186617,-100.399702,90.0,bottom
LED12,174.170265,-100.417202,90.0,bottom
LED13,144.892805,-100.452202,90.0,bottom
LED14,169.356799,-100.417202,90.0,bottom
LED15,140.081007,-100.452202,90.0,bottom
LED16,135.234208,-100.452202,90.0,bottom
LED17,198.450349,-100.4208,90.0,bottom
LED18,193.564297,-100.4208,90.0,bottom
LED19,188.63658,-100.389728,90.0,bottom
LED2,212.858503,-100.45699,90.0,bottom
LED21,96.329818,-100.399702,90.0,bottom
LED22,91.429687,-100.399702,90.0,bottom
LED23,86.486221,-100.399702,90.0,bottom
LED25,164.5,-100.417202,90.0,bottom
LED26,159.599869,-100.417202,90.0,bottom
LED27,154.656403,-100.417202,90.0,bottom
LED29,130.352409,-100.452202,90.0,bottom
LED3,115.497013,-100.399702,90.0,bottom
LED30,125.435611,-100.452202,90.0,bottom
LED31,120.483812,-100.452202,90.0,bottom
LED33,91.5,-108.5,0.0,top
LED35,163.25,-94.0,180.0,top
LED36,140.692339,-91.488338,0.0,top
LED4,183.667195,-100.417202,90.0,bottom
LED5,110.770215,-100.399702,90.0,bottom
LED6,149.669604,-100.452202,90.0,bottom
LED7,208.097452,-100.4208,90.0,bottom
LED8,203.294734,-100.4208,90.0,bottom
LED9,178.940396,-100.417202,90.0,bottom
Q2,102.575,-107.5,90.0,top
Q3,165.9375,-91.5,180.0,top
R1,217.670302,-103.709438,270.0,bottom
R10,102.55,-115.0,0.0,top
R11,102.55,-113.5,180.0,top
R12,94.5,-108.5,0.0,top
R13,91.651398,-114.9243,0.0,top
R14,87.0,-114.0,90.0,top
R15,85.5,-114.0,90.0,top
R16,94.5,-110.0,180.0,top
R17,115.582013,-103.694346,270.0,bottom
R18,100.2,-114.225,90.0,top
R19,183.752195,-103.676846,270.0,bottom
R2,160.5,-91.0,0.0,top
R20,110.811882,-103.694346,270.0,bottom
R21,149.704604,-103.641846,270.0,bottom
R22,208.106533,-103.673248,270.0,bottom
R23,203.262148,-103.673248,270.0,bottom
R24,178.982063,-103.676846,270.0,bottom
R25,105.998416,-103.694346,270.0,bottom
R26,101.141617,-103.694346,270.0,bottom
R27,174.168598,-103.676846,270.0,bottom
R28,144.892805,-103.641846,270.0,bottom
R29,169.311799,-103.676846,270.0,bottom
R3,160.5,-92.5,0.0,top
R30,140.046007,-103.641846,270.0,bottom
R31,135.164208,-103.641846,270.0,bottom
R32,198.376096,-103.673248,270.0,bottom
R33,193.448378,-103.673248,270.0,bottom
R34,188.478994,-103.70432,270.0,bottom
R36,96.241485,-103.694346,270.0,bottom
R37,91.29802,-103.694346,270.0,bottom
R38,86.311221,-103.694346,270.0,bottom
R4,156.408347,-99.737435,90.0,top
R40,164.411667,-103.676846,270.0,bottom
R41,159.468202,-103.676846,270.0,bottom
R42,154.481403,-103.676846,270.0,bottom
R44,130.247409,-103.641846,270.0,bottom
R45,125.295611,-103.641846,270.0,bottom
R46,120.429958,-103.691983,270.0,bottom
R48,195.222618,-102.036535,0.0,top
R49,195.263012,-111.831797,0.0,top
R5,90.0,-113.45,0.0,top
R50,160.5,-94.0,0.0,top
R51,142.982886,-91.488338,180.0,top
R6,212.90925,-103.709438,270.0,bottom
R7,154.908347,-99.737435,90.0,top
R8,143.472066,-94.415604,0.0,top
R9,102.55,-116.5,180.0,top
SW3,142.286367,-98.116735,180.0,top
SW4,160.0,-100.925,180.0,top
SW5,192.0,-101.25,0.0,top
SW6,192.0,-111.0,0.0,top
U2,152.0,-92.4,0.0,top
U3,87.5,-107.5,0.0,top
U5,90.0,-110.95,0.0,top
U6,219.13,-92.5,180.0,top
U7,106.05,-116.5,180.0,top
U8,85.0,-93.5,0.0,top
USBC1,81.0275,-106.9,270.0,top
